"INDIC_IS","GEO","TIME","UNIT","IND_TYPE","Value","Flag and Footnotes"
"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)","Turkey","2019","Percentage of individuals","All Individuals","60",""
"Internet use: uploading self-created content to any website to be shared","Belgium","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Belgium","2010","Percentage of individuals","All Individuals","18",""
"Internet use: uploading self-created content to any website to be shared","Belgium","2015","Percentage of individuals","All Individuals","22",""
"Internet use: uploading self-created content to any website to be shared","Belgium","2019","Percentage of individuals","All Individuals","23",""
"Internet use: uploading self-created content to any website to be shared","Bulgaria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Bulgaria","2010","Percentage of individuals","All Individuals","12",""
"Internet use: uploading self-created content to any website to be shared","Bulgaria","2015","Percentage of individuals","All Individuals","21",""
"Internet use: uploading self-created content to any website to be shared","Bulgaria","2019","Percentage of individuals","All Individuals","20",""
"Internet use: uploading self-created content to any website to be shared","Czechia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Czechia","2010","Percentage of individuals","All Individuals","6",""
"Internet use: uploading self-created content to any website to be shared","Czechia","2015","Percentage of individuals","All Individuals","19",""
"Internet use: uploading self-created content to any website to be shared","Czechia","2019","Percentage of individuals","All Individuals","41",""
"Internet use: uploading self-created content to any website to be shared","Denmark","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Denmark","2010","Percentage of individuals","All Individuals","37",""
"Internet use: uploading self-created content to any website to be shared","Denmark","2015","Percentage of individuals","All Individuals","51",""
"Internet use: uploading self-created content to any website to be shared","Denmark","2019","Percentage of individuals","All Individuals","52",""
"Internet use: uploading self-created content to any website to be shared","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals","22",""
"Internet use: uploading self-created content to any website to be shared","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","30",""
"Internet use: uploading self-created content to any website to be shared","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","35",""
"Internet use: uploading self-created content to any website to be shared","Estonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Estonia","2010","Percentage of individuals","All Individuals","32",""
"Internet use: uploading self-created content to any website to be shared","Estonia","2015","Percentage of individuals","All Individuals","38",""
"Internet use: uploading self-created content to any website to be shared","Estonia","2019","Percentage of individuals","All Individuals","36",""
"Internet use: uploading self-created content to any website to be shared","Ireland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Ireland","2010","Percentage of individuals","All Individuals","14",""
"Internet use: uploading self-created content to any website to be shared","Ireland","2015","Percentage of individuals","All Individuals","35",""
"Internet use: uploading self-created content to any website to be shared","Ireland","2019","Percentage of individuals","All Individuals","37",""
"Internet use: uploading self-created content to any website to be shared","Greece","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Greece","2010","Percentage of individuals","All Individuals","10",""
"Internet use: uploading self-created content to any website to be shared","Greece","2015","Percentage of individuals","All Individuals","23",""
"Internet use: uploading self-created content to any website to be shared","Greece","2019","Percentage of individuals","All Individuals","35",""
"Internet use: uploading self-created content to any website to be shared","Spain","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Spain","2010","Percentage of individuals","All Individuals","23",""
"Internet use: uploading self-created content to any website to be shared","Spain","2015","Percentage of individuals","All Individuals","32",""
"Internet use: uploading self-created content to any website to be shared","Spain","2019","Percentage of individuals","All Individuals","31",""
"Internet use: uploading self-created content to any website to be shared","France","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","France","2010","Percentage of individuals","All Individuals","26",""
"Internet use: uploading self-created content to any website to be shared","France","2015","Percentage of individuals","All Individuals","24",""
"Internet use: uploading self-created content to any website to be shared","France","2019","Percentage of individuals","All Individuals","23",""
"Internet use: uploading self-created content to any website to be shared","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Croatia","2010","Percentage of individuals","All Individuals","11",""
"Internet use: uploading self-created content to any website to be shared","Croatia","2015","Percentage of individuals","All Individuals","18",""
"Internet use: uploading self-created content to any website to be shared","Croatia","2019","Percentage of individuals","All Individuals","31",""
"Internet use: uploading self-created content to any website to be shared","Italy","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Italy","2010","Percentage of individuals","All Individuals","19",""
"Internet use: uploading self-created content to any website to be shared","Italy","2015","Percentage of individuals","All Individuals","22",""
"Internet use: uploading self-created content to any website to be shared","Italy","2019","Percentage of individuals","All Individuals","22",""
"Internet use: uploading self-created content to any website to be shared","Cyprus","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Cyprus","2010","Percentage of individuals","All Individuals","19",""
"Internet use: uploading self-created content to any website to be shared","Cyprus","2015","Percentage of individuals","All Individuals","41",""
"Internet use: uploading self-created content to any website to be shared","Cyprus","2019","Percentage of individuals","All Individuals","39",""
"Internet use: uploading self-created content to any website to be shared","Latvia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Latvia","2010","Percentage of individuals","All Individuals","38",""
"Internet use: uploading self-created content to any website to be shared","Latvia","2015","Percentage of individuals","All Individuals","28",""
"Internet use: uploading self-created content to any website to be shared","Latvia","2019","Percentage of individuals","All Individuals","24",""
"Internet use: uploading self-created content to any website to be shared","Lithuania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Lithuania","2010","Percentage of individuals","All Individuals","28",""
"Internet use: uploading self-created content to any website to be shared","Lithuania","2015","Percentage of individuals","All Individuals","33",""
"Internet use: uploading self-created content to any website to be shared","Lithuania","2019","Percentage of individuals","All Individuals","34",""
"Internet use: uploading self-created content to any website to be shared","Luxembourg","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Luxembourg","2010","Percentage of individuals","All Individuals","35",""
"Internet use: uploading self-created content to any website to be shared","Luxembourg","2015","Percentage of individuals","All Individuals","47",""
"Internet use: uploading self-created content to any website to be shared","Luxembourg","2019","Percentage of individuals","All Individuals","33","b"
"Internet use: uploading self-created content to any website to be shared","Hungary","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Hungary","2010","Percentage of individuals","All Individuals","33",""
"Internet use: uploading self-created content to any website to be shared","Hungary","2015","Percentage of individuals","All Individuals","42",""
"Internet use: uploading self-created content to any website to be shared","Hungary","2019","Percentage of individuals","All Individuals","28",""
"Internet use: uploading self-created content to any website to be shared","Malta","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Malta","2010","Percentage of individuals","All Individuals","12",""
"Internet use: uploading self-created content to any website to be shared","Malta","2015","Percentage of individuals","All Individuals","34",""
"Internet use: uploading self-created content to any website to be shared","Malta","2019","Percentage of individuals","All Individuals","33",""
"Internet use: uploading self-created content to any website to be shared","Netherlands","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Netherlands","2010","Percentage of individuals","All Individuals","27",""
"Internet use: uploading self-created content to any website to be shared","Netherlands","2015","Percentage of individuals","All Individuals","47",""
"Internet use: uploading self-created content to any website to be shared","Netherlands","2019","Percentage of individuals","All Individuals","53",""
"Internet use: uploading self-created content to any website to be shared","Austria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Austria","2010","Percentage of individuals","All Individuals","20",""
"Internet use: uploading self-created content to any website to be shared","Austria","2015","Percentage of individuals","All Individuals","29",""
"Internet use: uploading self-created content to any website to be shared","Austria","2019","Percentage of individuals","All Individuals","21",""
"Internet use: uploading self-created content to any website to be shared","Poland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Poland","2010","Percentage of individuals","All Individuals","11",""
"Internet use: uploading self-created content to any website to be shared","Poland","2015","Percentage of individuals","All Individuals","12",""
"Internet use: uploading self-created content to any website to be shared","Poland","2019","Percentage of individuals","All Individuals","21",""
"Internet use: uploading self-created content to any website to be shared","Portugal","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Portugal","2010","Percentage of individuals","All Individuals","21",""
"Internet use: uploading self-created content to any website to be shared","Portugal","2015","Percentage of individuals","All Individuals","42",""
"Internet use: uploading self-created content to any website to be shared","Portugal","2019","Percentage of individuals","All Individuals","39",""
"Internet use: uploading self-created content to any website to be shared","Romania","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Romania","2010","Percentage of individuals","All Individuals","15",""
"Internet use: uploading self-created content to any website to be shared","Romania","2015","Percentage of individuals","All Individuals","21",""
"Internet use: uploading self-created content to any website to be shared","Romania","2019","Percentage of individuals","All Individuals","15",""
"Internet use: uploading self-created content to any website to be shared","Slovenia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Slovenia","2010","Percentage of individuals","All Individuals","29",""
"Internet use: uploading self-created content to any website to be shared","Slovenia","2015","Percentage of individuals","All Individuals","27",""
"Internet use: uploading self-created content to any website to be shared","Slovenia","2019","Percentage of individuals","All Individuals","30",""
"Internet use: uploading self-created content to any website to be shared","Slovakia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Slovakia","2010","Percentage of individuals","All Individuals","9",""
"Internet use: uploading self-created content to any website to be shared","Slovakia","2015","Percentage of individuals","All Individuals","6",""
"Internet use: uploading self-created content to any website to be shared","Slovakia","2019","Percentage of individuals","All Individuals","20",""
"Internet use: uploading self-created content to any website to be shared","Finland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Finland","2010","Percentage of individuals","All Individuals","15",""
"Internet use: uploading self-created content to any website to be shared","Finland","2015","Percentage of individuals","All Individuals","27",""
"Internet use: uploading self-created content to any website to be shared","Finland","2019","Percentage of individuals","All Individuals","27",""
"Internet use: uploading self-created content to any website to be shared","Sweden","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Sweden","2010","Percentage of individuals","All Individuals","28",""
"Internet use: uploading self-created content to any website to be shared","Sweden","2015","Percentage of individuals","All Individuals","38",""
"Internet use: uploading self-created content to any website to be shared","Sweden","2019","Percentage of individuals","All Individuals","37",""
"Internet use: uploading self-created content to any website to be shared","United Kingdom","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","United Kingdom","2010","Percentage of individuals","All Individuals","32",""
"Internet use: uploading self-created content to any website to be shared","United Kingdom","2015","Percentage of individuals","All Individuals","45",""
"Internet use: uploading self-created content to any website to be shared","United Kingdom","2019","Percentage of individuals","All Individuals","38",""
"Internet use: uploading self-created content to any website to be shared","Iceland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Iceland","2010","Percentage of individuals","All Individuals","41",""
"Internet use: uploading self-created content to any website to be shared","Iceland","2015","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Iceland","2019","Percentage of individuals","All Individuals","64",""
"Internet use: uploading self-created content to any website to be shared","Norway","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Norway","2010","Percentage of individuals","All Individuals","27",""
"Internet use: uploading self-created content to any website to be shared","Norway","2015","Percentage of individuals","All Individuals","35",""
"Internet use: uploading self-created content to any website to be shared","Norway","2019","Percentage of individuals","All Individuals","44",""
"Internet use: uploading self-created content to any website to be shared","North Macedonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","North Macedonia","2010","Percentage of individuals","All Individuals","16",""
"Internet use: uploading self-created content to any website to be shared","North Macedonia","2015","Percentage of individuals","All Individuals","23",""
"Internet use: uploading self-created content to any website to be shared","North Macedonia","2019","Percentage of individuals","All Individuals","70",""
"Internet use: uploading self-created content to any website to be shared","Serbia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Serbia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Serbia","2015","Percentage of individuals","All Individuals","25",""
"Internet use: uploading self-created content to any website to be shared","Serbia","2019","Percentage of individuals","All Individuals","35",""
"Internet use: uploading self-created content to any website to be shared","Turkey","2006","Percentage of individuals","All Individuals",":",""
"Internet use: uploading self-created content to any website to be shared","Turkey","2010","Percentage of individuals","All Individuals","11",""
"Internet use: uploading self-created content to any website to be shared","Turkey","2015","Percentage of individuals","All Individuals","32",""
"Internet use: uploading self-created content to any website to be shared","Turkey","2019","Percentage of individuals","All Individuals","31",""
"Internet use: finding information about goods and services","Belgium","2006","Percentage of individuals","All Individuals","51",""
"Internet use: finding information about goods and services","Belgium","2010","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Belgium","2015","Percentage of individuals","All Individuals","70",""
"Internet use: finding information about goods and services","Belgium","2019","Percentage of individuals","All Individuals","76",""
"Internet use: finding information about goods and services","Bulgaria","2006","Percentage of individuals","All Individuals","13",""
"Internet use: finding information about goods and services","Bulgaria","2010","Percentage of individuals","All Individuals","26",""
"Internet use: finding information about goods and services","Bulgaria","2015","Percentage of individuals","All Individuals","35",""
"Internet use: finding information about goods and services","Bulgaria","2019","Percentage of individuals","All Individuals","38",""
"Internet use: finding information about goods and services","Czechia","2006","Percentage of individuals","All Individuals","32",""
"Internet use: finding information about goods and services","Czechia","2010","Percentage of individuals","All Individuals","53",""
"Internet use: finding information about goods and services","Czechia","2015","Percentage of individuals","All Individuals","68",""
"Internet use: finding information about goods and services","Czechia","2019","Percentage of individuals","All Individuals","76",""
"Internet use: finding information about goods and services","Denmark","2006","Percentage of individuals","All Individuals","68",""
"Internet use: finding information about goods and services","Denmark","2010","Percentage of individuals","All Individuals","78",""
"Internet use: finding information about goods and services","Denmark","2015","Percentage of individuals","All Individuals","77",""
"Internet use: finding information about goods and services","Denmark","2019","Percentage of individuals","All Individuals","85",""
"Internet use: finding information about goods and services","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals","60",""
"Internet use: finding information about goods and services","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals","72",""
"Internet use: finding information about goods and services","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","80",""
"Internet use: finding information about goods and services","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","86",""
"Internet use: finding information about goods and services","Estonia","2006","Percentage of individuals","All Individuals","44",""
"Internet use: finding information about goods and services","Estonia","2010","Percentage of individuals","All Individuals","61",""
"Internet use: finding information about goods and services","Estonia","2015","Percentage of individuals","All Individuals","75",""
"Internet use: finding information about goods and services","Estonia","2019","Percentage of individuals","All Individuals","78",""
"Internet use: finding information about goods and services","Ireland","2006","Percentage of individuals","All Individuals","42",""
"Internet use: finding information about goods and services","Ireland","2010","Percentage of individuals","All Individuals","57",""
"Internet use: finding information about goods and services","Ireland","2015","Percentage of individuals","All Individuals","64",""
"Internet use: finding information about goods and services","Ireland","2019","Percentage of individuals","All Individuals","77",""
"Internet use: finding information about goods and services","Greece","2006","Percentage of individuals","All Individuals","23",""
"Internet use: finding information about goods and services","Greece","2010","Percentage of individuals","All Individuals","36",""
"Internet use: finding information about goods and services","Greece","2015","Percentage of individuals","All Individuals","54",""
"Internet use: finding information about goods and services","Greece","2019","Percentage of individuals","All Individuals","67",""
"Internet use: finding information about goods and services","Spain","2006","Percentage of individuals","All Individuals","37",""
"Internet use: finding information about goods and services","Spain","2010","Percentage of individuals","All Individuals","54",""
"Internet use: finding information about goods and services","Spain","2015","Percentage of individuals","All Individuals","55",""
"Internet use: finding information about goods and services","Spain","2019","Percentage of individuals","All Individuals","73",""
"Internet use: finding information about goods and services","France","2006","Percentage of individuals","All Individuals","36",""
"Internet use: finding information about goods and services","France","2010","Percentage of individuals","All Individuals","63",""
"Internet use: finding information about goods and services","France","2015","Percentage of individuals","All Individuals","69",""
"Internet use: finding information about goods and services","France","2019","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Croatia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: finding information about goods and services","Croatia","2010","Percentage of individuals","All Individuals","43",""
"Internet use: finding information about goods and services","Croatia","2015","Percentage of individuals","All Individuals","57",""
"Internet use: finding information about goods and services","Croatia","2019","Percentage of individuals","All Individuals","74",""
"Internet use: finding information about goods and services","Italy","2006","Percentage of individuals","All Individuals","23",""
"Internet use: finding information about goods and services","Italy","2010","Percentage of individuals","All Individuals","35",""
"Internet use: finding information about goods and services","Italy","2015","Percentage of individuals","All Individuals","37",""
"Internet use: finding information about goods and services","Italy","2019","Percentage of individuals","All Individuals","40",""
"Internet use: finding information about goods and services","Cyprus","2006","Percentage of individuals","All Individuals","27",""
"Internet use: finding information about goods and services","Cyprus","2010","Percentage of individuals","All Individuals","47",""
"Internet use: finding information about goods and services","Cyprus","2015","Percentage of individuals","All Individuals","54",""
"Internet use: finding information about goods and services","Cyprus","2019","Percentage of individuals","All Individuals","72",""
"Internet use: finding information about goods and services","Latvia","2006","Percentage of individuals","All Individuals","36",""
"Internet use: finding information about goods and services","Latvia","2010","Percentage of individuals","All Individuals","57",""
"Internet use: finding information about goods and services","Latvia","2015","Percentage of individuals","All Individuals","54",""
"Internet use: finding information about goods and services","Latvia","2019","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Lithuania","2006","Percentage of individuals","All Individuals","30",""
"Internet use: finding information about goods and services","Lithuania","2010","Percentage of individuals","All Individuals","48",""
"Internet use: finding information about goods and services","Lithuania","2015","Percentage of individuals","All Individuals","57",""
"Internet use: finding information about goods and services","Lithuania","2019","Percentage of individuals","All Individuals","69",""
"Internet use: finding information about goods and services","Luxembourg","2006","Percentage of individuals","All Individuals","64",""
"Internet use: finding information about goods and services","Luxembourg","2010","Percentage of individuals","All Individuals","78",""
"Internet use: finding information about goods and services","Luxembourg","2015","Percentage of individuals","All Individuals","76",""
"Internet use: finding information about goods and services","Luxembourg","2019","Percentage of individuals","All Individuals","67",""
"Internet use: finding information about goods and services","Hungary","2006","Percentage of individuals","All Individuals","35",""
"Internet use: finding information about goods and services","Hungary","2010","Percentage of individuals","All Individuals","55",""
"Internet use: finding information about goods and services","Hungary","2015","Percentage of individuals","All Individuals","61",""
"Internet use: finding information about goods and services","Hungary","2019","Percentage of individuals","All Individuals","69",""
"Internet use: finding information about goods and services","Malta","2006","Percentage of individuals","All Individuals","26",""
"Internet use: finding information about goods and services","Malta","2010","Percentage of individuals","All Individuals","52",""
"Internet use: finding information about goods and services","Malta","2015","Percentage of individuals","All Individuals","61",""
"Internet use: finding information about goods and services","Malta","2019","Percentage of individuals","All Individuals","72",""
"Internet use: finding information about goods and services","Netherlands","2006","Percentage of individuals","All Individuals","73",""
"Internet use: finding information about goods and services","Netherlands","2010","Percentage of individuals","All Individuals","82",""
"Internet use: finding information about goods and services","Netherlands","2015","Percentage of individuals","All Individuals","84",""
"Internet use: finding information about goods and services","Netherlands","2019","Percentage of individuals","All Individuals","89",""
"Internet use: finding information about goods and services","Austria","2006","Percentage of individuals","All Individuals","47",""
"Internet use: finding information about goods and services","Austria","2010","Percentage of individuals","All Individuals","58",""
"Internet use: finding information about goods and services","Austria","2015","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Austria","2019","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Poland","2006","Percentage of individuals","All Individuals","25",""
"Internet use: finding information about goods and services","Poland","2010","Percentage of individuals","All Individuals","39",""
"Internet use: finding information about goods and services","Poland","2015","Percentage of individuals","All Individuals","42",""
"Internet use: finding information about goods and services","Poland","2019","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Portugal","2006","Percentage of individuals","All Individuals","30",""
"Internet use: finding information about goods and services","Portugal","2010","Percentage of individuals","All Individuals","44",""
"Internet use: finding information about goods and services","Portugal","2015","Percentage of individuals","All Individuals","52",""
"Internet use: finding information about goods and services","Portugal","2019","Percentage of individuals","All Individuals","65",""
"Internet use: finding information about goods and services","Romania","2006","Percentage of individuals","All Individuals","10",""
"Internet use: finding information about goods and services","Romania","2010","Percentage of individuals","All Individuals","26",""
"Internet use: finding information about goods and services","Romania","2015","Percentage of individuals","All Individuals","26",""
"Internet use: finding information about goods and services","Romania","2019","Percentage of individuals","All Individuals","33",""
"Internet use: finding information about goods and services","Slovenia","2006","Percentage of individuals","All Individuals","42",""
"Internet use: finding information about goods and services","Slovenia","2010","Percentage of individuals","All Individuals","57",""
"Internet use: finding information about goods and services","Slovenia","2015","Percentage of individuals","All Individuals","61",""
"Internet use: finding information about goods and services","Slovenia","2019","Percentage of individuals","All Individuals","70",""
"Internet use: finding information about goods and services","Slovakia","2006","Percentage of individuals","All Individuals","33",""
"Internet use: finding information about goods and services","Slovakia","2010","Percentage of individuals","All Individuals","62",""
"Internet use: finding information about goods and services","Slovakia","2015","Percentage of individuals","All Individuals","57",""
"Internet use: finding information about goods and services","Slovakia","2019","Percentage of individuals","All Individuals","60",""
"Internet use: finding information about goods and services","Finland","2006","Percentage of individuals","All Individuals","67",""
"Internet use: finding information about goods and services","Finland","2010","Percentage of individuals","All Individuals","74",""
"Internet use: finding information about goods and services","Finland","2015","Percentage of individuals","All Individuals","82",""
"Internet use: finding information about goods and services","Finland","2019","Percentage of individuals","All Individuals","87",""
"Internet use: finding information about goods and services","Sweden","2006","Percentage of individuals","All Individuals","74",""
"Internet use: finding information about goods and services","Sweden","2010","Percentage of individuals","All Individuals","82",""
"Internet use: finding information about goods and services","Sweden","2015","Percentage of individuals","All Individuals","73",""
"Internet use: finding information about goods and services","Sweden","2019","Percentage of individuals","All Individuals","83",""
"Internet use: finding information about goods and services","United Kingdom","2006","Percentage of individuals","All Individuals","55",""
"Internet use: finding information about goods and services","United Kingdom","2010","Percentage of individuals","All Individuals","63",""
"Internet use: finding information about goods and services","United Kingdom","2015","Percentage of individuals","All Individuals","74",""
"Internet use: finding information about goods and services","United Kingdom","2019","Percentage of individuals","All Individuals","81",""
"Internet use: finding information about goods and services","Iceland","2006","Percentage of individuals","All Individuals","76",""
"Internet use: finding information about goods and services","Iceland","2010","Percentage of individuals","All Individuals","84",""
"Internet use: finding information about goods and services","Iceland","2015","Percentage of individuals","All Individuals",":",""
"Internet use: finding information about goods and services","Iceland","2019","Percentage of individuals","All Individuals","92",""
"Internet use: finding information about goods and services","Norway","2006","Percentage of individuals","All Individuals","74",""
"Internet use: finding information about goods and services","Norway","2010","Percentage of individuals","All Individuals","82",""
"Internet use: finding information about goods and services","Norway","2015","Percentage of individuals","All Individuals","82",""
"Internet use: finding information about goods and services","Norway","2019","Percentage of individuals","All Individuals","90",""
"Internet use: finding information about goods and services","North Macedonia","2006","Percentage of individuals","All Individuals","11",""
"Internet use: finding information about goods and services","North Macedonia","2010","Percentage of individuals","All Individuals","30",""
"Internet use: finding information about goods and services","North Macedonia","2015","Percentage of individuals","All Individuals","30",""
"Internet use: finding information about goods and services","North Macedonia","2019","Percentage of individuals","All Individuals","53",""
"Internet use: finding information about goods and services","Serbia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: finding information about goods and services","Serbia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: finding information about goods and services","Serbia","2015","Percentage of individuals","All Individuals","44",""
"Internet use: finding information about goods and services","Serbia","2019","Percentage of individuals","All Individuals","53",""
"Internet use: finding information about goods and services","Turkey","2006","Percentage of individuals","All Individuals",":",""
"Internet use: finding information about goods and services","Turkey","2010","Percentage of individuals","All Individuals","21",""
"Internet use: finding information about goods and services","Turkey","2015","Percentage of individuals","All Individuals","30",""
"Internet use: finding information about goods and services","Turkey","2019","Percentage of individuals","All Individuals","48",""
"Internet use: reading online news sites/newspapers/news magazines","Belgium","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Belgium","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Belgium","2015","Percentage of individuals","All Individuals","52",""
"Internet use: reading online news sites/newspapers/news magazines","Belgium","2019","Percentage of individuals","All Individuals","59",""
"Internet use: reading online news sites/newspapers/news magazines","Bulgaria","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Bulgaria","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Bulgaria","2015","Percentage of individuals","All Individuals","40",""
"Internet use: reading online news sites/newspapers/news magazines","Bulgaria","2019","Percentage of individuals","All Individuals","45",""
"Internet use: reading online news sites/newspapers/news magazines","Czechia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Czechia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Czechia","2015","Percentage of individuals","All Individuals","70",""
"Internet use: reading online news sites/newspapers/news magazines","Czechia","2019","Percentage of individuals","All Individuals","80",""
"Internet use: reading online news sites/newspapers/news magazines","Denmark","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Denmark","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Denmark","2015","Percentage of individuals","All Individuals","66",""
"Internet use: reading online news sites/newspapers/news magazines","Denmark","2019","Percentage of individuals","All Individuals","82",""
"Internet use: reading online news sites/newspapers/news magazines","Germany (until 1990 former territory of the FRG)","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Germany (until 1990 former territory of the FRG)","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Germany (until 1990 former territory of the FRG)","2015","Percentage of individuals","All Individuals","63",""
"Internet use: reading online news sites/newspapers/news magazines","Germany (until 1990 former territory of the FRG)","2019","Percentage of individuals","All Individuals","71",""
"Internet use: reading online news sites/newspapers/news magazines","Estonia","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Estonia","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Estonia","2015","Percentage of individuals","All Individuals","80",""
"Internet use: reading online news sites/newspapers/news magazines","Estonia","2019","Percentage of individuals","All Individuals","81",""
"Internet use: reading online news sites/newspapers/news magazines","Ireland","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Ireland","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Ireland","2015","Percentage of individuals","All Individuals","38",""
"Internet use: reading online news sites/newspapers/news magazines","Ireland","2019","Percentage of individuals","All Individuals","67",""
"Internet use: reading online news sites/newspapers/news magazines","Greece","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Greece","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Greece","2015","Percentage of individuals","All Individuals","57",""
"Internet use: reading online news sites/newspapers/news magazines","Greece","2019","Percentage of individuals","All Individuals","66",""
"Internet use: reading online news sites/newspapers/news magazines","Spain","2006","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Spain","2010","Percentage of individuals","All Individuals",":",""
"Internet use: reading online news sites/newspapers/news magazines","Spain","2015","Percentage of individuals","All Individuals","62",""
"Internet use: reading online news sites/newspapers/news magazines","Spain","2019","Percentage of individuals","All Individuals","71",""
